uid,age,birthday,country,region,genderSlider,genderLabel,lifeExpectancy,weeksLived,weeksRemaining,weeksTotal,percentLived,phaseTemplate,phaseCount,phases
gTHKbfoLISRABr1VjArnVgxwvqcC,33,08.04.1993,Nigeria,Africa,0,Male,55,1723,1137,2860,60.2,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
M1JRcoreogrNwwmq6OLkTkx9NIQ0,26,10.09.2000,Brazil,South America,9,Female,80,1336,2824,4160,32.1,Creative / Artist,5,Childhood (0–6); Education (6–20); Emerging (20–35); Established (35–60); Legacy (60–85)
n62tOy4CqpIqK3yn9FfcgMXAdx9G,18,13.06.2008,Saudi Arabia,Asia,0,Male,77,931,3073,4004,23.3,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
2UVvsjaSS8VFgM0Fmxk754LEgw9Y,17,24.11.2009,Vietnam,Asia,9,Female,79,856,3252,4108,20.8,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
Y8HhO6kGL75UQSyPx3BpdbIKaRde,52,03.02.1974,Colombia,South America,0,Male,74,2724,1124,3848,70.8,Early retirement,5,Childhood (0–6); Education (6–22); Career (22–45); Early Retirement (45–70); Senior (70–90)
ni6JDWYlgAACTP9gyv1plBArp5B1,48,09.04.1978,Angola,Africa,0,Male,63,2506,770,3276,76.5,Entrepreneur,5,Childhood (0–6); School (6–18); Startup Years (18–30); Growth Phase (30–55); Legacy (55–85)
0kEnydx9qWCA79ISjs8JHUdKF0j7,50,03.01.1976,Kenya,Africa,0,Male,65,2624,756,3380,77.6,Healthcare,6,Childhood (0–6); School (6–18); University (18–24); Residency (24–30); Career (30–65); Retirement (65–90)
z6JJcfOJtqPtqiOC56aMIgHFivep,54,22.02.1972,Bangladesh,Asia,0,Male,72,2826,918,3744,75.5,Healthcare,6,Childhood (0–6); School (6–18); University (18–24); Residency (24–30); Career (30–65); Retirement (65–90)
9OaYsP6ihgIqLSmNqE40fAraVNqT,50,10.12.1976,Egypt,Africa,1,Non-binary / Other,72,2575,1169,3744,68.8,Academic / PhD,7,Childhood (0–6); School (6–18); Bachelor's (18–21); Master's (21–23); PhD (23–28); Academic Career (28–65); Retirement (65–90)
QjcwIAcw58cwQPvI28U5okXkzl5W,16,03.02.2010,Malaysia,Asia,0,Male,74,846,3002,3848,22.0,Adventurer,5,Childhood (0–6); School (6–18); Exploration (18–25); Settled Career (25–60); Senior (60–90)
RxcDm4vY2nOyreVvFQ0ub2qJ8cKv,63,09.04.1963,India,Asia,9,Female,71,3289,403,3692,89.1,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
lcBGYQ6TmA65MPh3FPuRIlPxUkJz,81,13.02.1945,Singapore,Asia,1,Non-binary / Other,81,4236,0,4212,100.6,Healthcare,6,Childhood (0–6); School (6–18); University (18–24); Residency (24–30); Career (30–65); Retirement (65–90)
OCBnD3XkfFNuYUPnmbpD0ezNmREp,42,26.07.1984,Sweden,Europe,0,Male,81,2177,2035,4212,51.7,Family-focused,6,Childhood (0–6); School (6–18); Young Adult (18–30); Family Years (30–55); Empty Nest (55–70); Senior (70–90)
7Gdp0CXP9K63LSFZH3UDqpNVGMre,22,08.07.2004,Nigeria,Africa,0,Male,55,1136,1724,2860,39.7,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
oRRdzHzmA4KR1VxavU07zUHLnnBb,36,03.09.1990,Ethiopia,Africa,0,Male,66,1859,1573,3432,54.2,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
58H4KPfA1lquCu2r6AZDUd7ne7cb,67,06.12.1959,Germany,Europe,9,Female,83,3463,853,4316,80.2,Military,5,Childhood (0–6); School (6–18); Military Service (18–38); Civilian Career (38–62); Retirement (62–85)
h6CpwL7SWktJ5J4x6mKZpRsQXXJc,35,05.04.1991,Denmark,Europe,9,Female,83,1828,2488,4316,42.4,Simple 3-phase,3,Youth (0–18); Adulthood (18–65); Senior (65–90)
0Yg7NZRBT7qYHDBTq0Zf2pCLxb0l,24,21.09.2002,Japan,Asia,9,Female,87,1230,3294,4524,27.2,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
2IGlozIoDSBbszpPwIv9IvCtoStU,59,29.05.1967,China,Asia,9,Female,80,3073,1087,4160,73.9,Family-focused,6,Childhood (0–6); School (6–18); Young Adult (18–30); Family Years (30–55); Empty Nest (55–70); Senior (70–90)
S8GrgmolaHr8IRh1E2JDBld6DYye,40,24.04.1986,United States,North America,9,Female,80,2086,2074,4160,50.1,Simple 3-phase,3,Youth (0–18); Adulthood (18–65); Senior (65–90)
9hVLXnGBB19sMLT6mnOjkeaBKsoR,25,31.10.2001,Nigeria,Africa,0,Male,55,1277,1583,2860,44.7,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
XKXmhnjqidXKZ5BDsyqHBL3TLboP,59,30.04.1967,Pakistan,Asia,3,Non-binary / Other,67,3077,407,3484,88.3,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
cUDO4lKNEfvuP1uRr6YICtu8zF9O,18,27.11.2008,Thailand,Asia,9,Female,80,907,3253,4160,21.8,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
EBdqir2EbNXStazn0h6Oj5sRzDDC,28,12.09.1998,Kenya,Africa,0,Male,65,1440,1940,3380,42.6,Academic / PhD,7,Childhood (0–6); School (6–18); Bachelor's (18–21); Master's (21–23); PhD (23–28); Academic Career (28–65); Retirement (65–90)
1rWz5FYrsK9EjHvIHCtlRJoWcURY,54,24.09.1972,Cameroon,Africa,0,Male,60,2795,325,3120,89.6,Healthcare,6,Childhood (0–6); School (6–18); University (18–24); Residency (24–30); Career (30–65); Retirement (65–90)
cFK12BGCSzOjD8uQO001xtSV2ceN,68,05.11.1958,India,Asia,9,Female,71,3520,172,3692,95.3,Simple 3-phase,3,Youth (0–18); Adulthood (18–65); Senior (65–90)
RgksbudwApzQlkLxQEKoNCP3CrHe,27,04.07.1999,United States,North America,9,Female,80,1398,2762,4160,33.6,Early retirement,5,Childhood (0–6); Education (6–22); Career (22–45); Early Retirement (45–70); Senior (70–90)
Cs90gxwsRbZya1W84UZ3WoXnlpUV,54,14.11.1972,United States,North America,9,Female,80,2788,1372,4160,67.0,Entrepreneur,5,Childhood (0–6); School (6–18); Startup Years (18–30); Growth Phase (30–55); Legacy (55–85)
Wcwi4uzmW2wFqk467s1XDeUnPPy0,22,21.11.2004,Pakistan,Asia,0,Male,67,1117,2367,3484,32.1,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
CPPKY6gob2I4ndZ4szi6sEg3iCPU,41,09.01.1985,Malaysia,Asia,0,Male,74,2154,1694,3848,56.0,Family-focused,6,Childhood (0–6); School (6–18); Young Adult (18–30); Family Years (30–55); Empty Nest (55–70); Senior (70–90)
OZM6rQnBow8w3Ndr86ZfnN8du9Wm,63,05.12.1963,United States,North America,0,Male,74,3254,594,3848,84.6,Healthcare,6,Childhood (0–6); School (6–18); University (18–24); Residency (24–30); Career (30–65); Retirement (65–90)
uj3a1iipkObaWoukdTGUDWFgF6cW,53,27.04.1973,Sudan,Africa,7,Non-binary / Other,67,2764,720,3484,79.3,Healthcare,6,Childhood (0–6); School (6–18); University (18–24); Residency (24–30); Career (30–65); Retirement (65–90)
DyQE4efLerNHu9GCLgR0OVSnBovC,45,01.11.1981,Turkey,Asia,5,Non-binary / Other,78,2320,1736,4056,57.2,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
